en,cn,ar,pos,,
postcard,明信片,بطاقة بريدية,np,,
Prague,布拉格,براغ,np,,
pre-flight safety demonstration,飞行安全示范,معلومات السلامة ما قبل الرحلة,np,,
precise,一丝不苟的,دقيق,np,,
prefecture,专区,ولاية,np,,
Press the call button if you need any more help.,如果还有其他需求，可以按呼叫按钮通知我们。,اضغط على زر الاتصال إذا احتجت على أي مساعدة,sent,,
Pretoria,比勒陀利亚,بريتوريا,np,,
Price According To Season And Size Of Flat.,价格按季节和公寓大小而定。,سعر مبني على الموسم وحجم الشقة,sent,,
Prices of food in this restaurant are much higher than that in other restaurants.,这家餐厅的价格比其他的餐厅高。,أسعار الطعام في هذا المطعم أعلى بكثير من المطاعم الثانية,sent,,
prize fellow,奖学金生,جائزة الزميل,np,,
Probably * hours.,大概*小时。,غالباً * ساعة/ساعات,sent,,
professionalhistory,职业经历,التاريخ الاحترافي,np,,
professionals & technical,专业技术人员,الحرفيين والتقني,np,,
prohibited item,违禁物品,شيء محظور,np,,
propeller-driven aircraft,螺旋桨飞机,طائرة مقادة بمراوح,np,,
protect public propety,爱护公共财物,احم الممتلكات العامة,np,,
province,省,مقاطعة,np,,
pub,酒店,حانة,np,,
public phone,公用电话,هاتف عمومي,np,,
pull,拉,اسحب,vp,,
Pune,普纳,بيون,np,,
purple,紫色,بنفسجي,adj,,
push,推,ادفع,vp,,
"Put on your seat belt, please.",请系好安全带。,ضع حزام المقعد خاصتك، من فضلك.,sent,,
"Put your carry-on luggage on the belt, please.",请把你的手提行李放在传送带上。,ضع أمتعتك اليدوية على الحزام، من فضلك.,sent,,
Qatar,卡塔尔,قطر,np,,
Quantity allowed to take.,限带物品数量。,الكمية المسموح أخذها,sent,,
queue here,在此排队,اصطف هنا,np,,
Queue here.,在此排队。,الاصطفاف هنا,sent,,
quiet,安静,هادئ,adj,,
ramp,停机坪,منحدر,np,,
razor,剃刀,شفرة حلاقة,np,,
reading light,阅读灯,ضوء القراءة,np,,
realistic,实事求是的,واقعي,np,,
receipt,发票,أيصال,np,,
Reception,前台/服务台/接待,الاستقبال,sent,,
reclaim belt,取行李传送带,حزام أعادة الإستلام,np,,
red,红色,أحمر,adj,,
red wine,红酒,نبيذ أحمر,np,,
Reduced Rates For Elderly.,老人优惠。,رسوم مخفضة للكبار في السن,sent,,
reduced speed now,减速行驶,سرعة مخفضة الآن,np,,
refined sugar,白糖,سكر مكرر,np,,
refresher course,进修课程,مادة تنشيطية/مسار تنشيطي,np,,
Regulations on restriction of liquids.,限带液体物品的规定。,لوائح بشأن القيود الموضوعة حيال السوائل,sent,,
relative,亲戚,قريب,np,,
Remove Key.,取出钥匙卡。,أزل المفتاح,sent,,
Report Suspicious Persons Or Acts.,报告可疑人员或可疑行为。,بلغ الأشخاص والتصرفات المشبوهة,sent,,
responsible,负责的,مسؤول,np,,
restaurant,餐厅,مطعم,np,,
restaurant and pub,餐馆酒吧,مطعم وحانة,np,,
restaurant lounge,酒店大厅,ردهة المطعم,np,,
Restriction of hand carry-on articles.,随身携带的物品限制规定。,القيود على المقتنيات المحمولة باليد,sent,,
rice,米饭,أرز,np,,
rice bowl,饭碗,وعاء رز,np,,
Riga,里加,ريغا,np,,
right,右边,يمين,part,,
Rio de Janeiro,里约热内卢,ريو دي جانيرو,np,,
Riyadh,利雅得,الرياض,np,,
road,路,شارع,np,,
"road up, detour",马路施工，请绕行,الطريق المتابعة، انعطاف,np,,
rock,洛杯,حجرة,np,,
rock sugar,冰糖,صخر السكر,np,,
Romania,罗马尼亚,رومانيا,np,,
Rome,罗马,روما,np,,
Room Reservation. Good afternoon.,客房预约部。下午好!,حجز الغرف. مساء الخير.,sent,,
"Room Reservations. May i help you,sir?",客房预定。先生有什么需要我帮忙的吗?,حجز الغرف. هل بوسعي مساعدك، سيدي؟,sent,,
Rotterdam,鹿特丹,روتردام,np,,
Round trip back to *.,我要往返票，*月*日飞回*。,رحلة ذهاب وعودة ألى *.,vp,,
Round trip or one way?,往返还是单程?,رحلة ذها وعودة أو إتجاه واحد؟,sent,,
round-trip ticket,来回机票,رحلة ذهاب وعودة,np,,
rum,朗姆酒,شراب رم مسكر,np,,
runny nose,流鼻涕,سيلان الأنف,np,,
Russian Federation,俄罗斯联邦,الاتحاد الروسي,np,,
Rwanda,卢旺达,رواندا,np,,
Safe Deposit Boxes Are Available At Front Desk.,前台可以提供保险箱。,تتوفر صناديق الودائع الآمنة في مكتب الاستقبال.,sent,,
safety first,安全第一,السلامة أولاً,np,,
Saint Petersburg,圣彼得堡,سان بطرسبرغ,np,,
Saint Vincent & the Grenadines,圣文森特和格林纳丁斯,سانت فنسنت وجزر غرينادين,np,,
salad,沙拉,سلطة,np,,
salad dressing,沙拉酱,صلصة السلطة,np,,
salad oil,色拉油,زيت السلطة,np,,
salt,盐,ملح,np,,
salt shaker,盐瓶,قنينة رش الملح,np,,
Samoa,萨摩亚,ساموا,np,,
San Marino,圣马力诺,سان مارينو,np,,
Santiago,圣地亚哥,سانتياغو,np,,
Sao Paulo,圣保罗,ساو باولو,np,,
Sao Tome & Principe,圣多美和普林西比,ساو تومي وبرينسيبي,np,,
Sarajevo,萨拉热窝,سراييفو,np,,
satellite,卫星楼,قمر صناعي,np,,
Saturday,星期六,يوم السبت,np,,
saucer,咖啡碟,صحن وضع الفنجان,np,,
Saudi Arabia,沙特阿拉伯,المملكة العربية السعودية,np,,
Sauna,桑拿浴,ساونا/حمام بخاري,sent,,
sausage,香肠,سجق,np,,
scented tea,花茶,شاي معطر,np,,
scheduled time,预计时间,وقت مقرر,np,,
seat belt,安全带,حزام المقعد,np,,
seat by number,对号入座,مقعد بالرقم,np,,
seat no,机座号,رقم المقعد,np,,
second class cabin,二等舱,مقصورة الدرجة الثانية,np,,
second job,第二职业,عمل ثاني,np,,
Secure Valuables.,保管好贵重物品。,أمّن المقتنيات الثمينة,sent,,
security check,安检,التحقيق الأمني,np,,
Security check (in).,安检。,التحقيق الأمني للدخول,sent,,
security inspection,安检,التفتيش الأمني,np,,
Security Inspection.,安检。,التفتيش الأمني,sent,,
Security Office.,保安部。,مكتب الأمن,sent,,
Security screening requirements.,安检要求。,شروط المسح الأمني,sent,,
See you later.,待会见,أراك لاحقاً.,sent,,
See you then.,到时候见。,أراك وقتها.,sent,,
Senegal,塞内加尔,السنغال,np,,
Seoul,首尔,سيول,np,,
separated,分居,منفصل,np,,
September,九月,سبتمبر,np,,
Serbia,塞尔维亚,صربيا,np,,
service,服务人员,خدمة,np,,
service fork,服务叉,شوكة الخدمة,np,,
service tongs,服务夹,ملقط الخدمة,np,,
sesame,芝麻,سمسم,np,,
sesame oil,香油,زيت السمسم,np,,
sesame paste,芝麻酱,معجون السمسم,np,,
seven,七,سبعة,num,,
sex,性别,جنس,np,,
Seychelles,塞舌尔,سيشيل,np,,
Shall I bring a cushion for the little one to sit on?,我需要拿个垫子为小朋友坐吗?,هل أحضر مِخَدَّة للصغير ليجلس عيلها,sent,,
shampoo,洗发精,شامبو,np,,
Shanghai,上海,شنغهاي,np,,
Sharjah,沙迦,الشارقة,np,,
Shave Pins In All Bedrooms.,所有卧室备有刮脸插销。,دبابيس الحلاقة في جميع الغرف,sent,,
she,她,هي,np,,
Sheffield,谢菲尔德,شيفيلد,np,,
Shenzhen,深圳,شنتشن,np,,
short stay,短暂停留,مكوث قصير,np,,
short-sighted,近视,قصير النظر,np,,
Should I take off my jacket too?,我还要脱掉夹克吗?,هل علي أن أخلع معطفي أيضاً,sent,,
shoulder,肩膀,كتف,np,,
Show me.,给我看一下。,أرني.,sent,,
shut,此路不通,أغلق,np,,
Shuttle Bus.,机场巴士。,حافلة نقل,sent,,
Sierra Leone,塞拉利昂,سيرا ليون,np,,
signature,签名,توقيع,np,,
Singapore,新加坡,سنغافورة,np,,
single,未婚,فردي,np,,
sister,姐妹,أخت,np,,
sister-in-law,弟妹,أخت الزوج/أخت الزوج,np,,
sites to see,景点,مواقع لترى,np,,
six,六,ستة,num,,
Slippery Road.,小心路滑。,شارع زلق,sent,,
Slovakia,斯洛伐克,سلوفاكيا,np,,
Slovenia,斯洛文尼亚,سلوفينيا,np,,
slowly,慢慢的,ببطء,adv,,
Smoking or non-smoking?,吸烟区还是非吸烟区?,مدخن أم غير مدخن؟,sent,,
smoking seat,吸烟坐位,مقعد للمدخنين,np,,
smoking section,吸烟区,قسم المدخنين,np,,
"Smoking, please.",吸烟区。,التدخين، من فضلك.,sent,,
smooth flight,平稳的飞行,رحلة سلسة.,np,,
sneeze,打喷嚏,عطسة,np,,
soap,肥皂,صابون,np,,
soda spoon,冻茶勺,معلقة المشروب الغازي,np,,
Sofia,苏菲亚,صوفيا,np,,
Solomon Islands,所罗门群岛,جزر سليمان,np,,
Somalia,索马里,الصومال,np,,
Some black coffee will help to sober me up.,一些黑咖啡，能让我清醒。,القليل من القهوة السوداء ستساعد في ترزيني,sent,,
"Some more *, pelase.",再多一点*，谢谢,المزيد من *، من فضلك.,vp,,
something) to declare,有报关,شيء للإفصاح عنه,np,,
son,儿子,ابن,np,,
son-in-law,女婿, زوج الابنة,np,,
sore,酸,ملتهب,adj,,
Sorry No Vacancy.,抱歉，客满。,آسف. لا يوجد شاغر.,sent,,
"Sorry, it's all sold out.",对不起，都卖完了。,آسف، إن كلها بيعت.,sent,,
"Sorry, we're fully booked.",抱歉，我们位子被订满了。,آسف، إننا محجوزون بالكامل,sent,,
Sorry. It's out of stock now.,对不起，已经脱销了。,آسف، إنها منقضية من مخزوننا الآن.,sent,,
sos,紧急求救信号,النجدة,np,As in S.O.S,
soup,汤,حساء,np,,
soup bowl,汤碗,وعاء الشوربة,np,,
soup spoon,汤勺,ملعقة الحساء,np,,
south,南,جنوب,adv,,
South Africa,南非,جنوب أفريقيا,np,,
South Korea,韩国,كوريا الجنوبية,np,,
South Sudan,南苏丹,جنوب السودان,np,,
Southampton,南安普敦,ساوثامبتون,np,,
soy sauce,酱油,صلصة الصويا,np,,
Spain,西班牙,إسبانيا,np,,
special training,特别训练,تدريب خاص,np,,
specialized courses,专门课程,مواد مخصصة/مسارات مخصصة,np,,
specific experience,具体经历,خبرة اختصاصية,np,,
speed,速度,سرعة,np,,
speed limit,速度限制,حد السرعة,np,,
Speed Per Hour.,飞行速度。,السرعة في الساعة,sent,,
spouse,配偶,القرين,np,,
Sri Lanka,斯里兰卡,سيريلانكا,np,,
St Kitts & Nevis,圣基茨和尼维斯,سانت كيتس ونيفيس,np,,
St Lucia,圣卢西亚,سانت لوسيا,np,,
staff only,本处职工专用,الموظفين فقط,np,,
Staff Only.,旅客止步。,الموظفين فقط,sent,,
stairs and lifts to departures,由此乘电梯前往登机,الدرج والمصاعد للمغادرين,np,,
Stalls,中庭,أكشاك,sent,,
status,订座情况,حالة,np,,
stay close,跟紧,ابق قريباً,np,,
Stay close.,跟紧。,ابق قريباً,sent,,
steak knife,扒刀,سكينة شرائح اللحم,np,,
stepbrother,异父(母)之兄弟,أخ غير شقيق,np,,
stepdaughter,继女, ربيبة,np,,
stepfather,继父,زوج الأم,np,,
stepmother,继母,زوجة الأب,np,,
stepsister,异父(母)之姐妹,أخت غير الشقيقة,np,,
stepson,继子,ربيب,np,,
steward,男空服员,مضيف,np,,
stewardess,女空服员,مضيفة,np,,
stir stick,搅棒,تحريك العصا,np,,
Stockholm,斯德哥尔摩,ستوكهولم,np,,
Stoke-on-Trent,特伦特河畔斯托克,ستوك أون ترينت,np,,
stomach medicine,肠胃药,دواء للمعدة,np,,
stop,关闭,توقف,np,,
stop (on a street sign),停,قف,sent,,
Stop! Thief!,住手！小偷！,توقف! لص/سارق‏! ‎,sent,,
Stop.,停。,توقف,sent,,
straight ahead,往前走,إلى الأمام,sent,,
straw,吸管,قش/مصاصة,np,,
street,街,شارع,np,,
study abroad student,留学生,طالب مبتعث,np,,
Stuttgart,斯图加特,شتوتغارت,np,,
Sudan,苏丹,سودان,np,,
sugar,糖,سكر,np,,
sugar bowl,糖盅,وعاء سكر,np,,
Suit,套间,بدلة,sent,,
sunblock lotion,防晒乳,مرهم حماية من حروق الشمس,np,,
Sunday,星期天,الأحد,np,,
supper,晚饭,العشاء,np,,
Surabaya,泗水,سورابايا,np,,
Surat,苏拉特,سورة,np,,
"Sure, but if you do have any cancellations, could you let me know as soon as possible?",好的，如果真有人取消，能不能尽快让我知道呢?,بالطبع، لكن أذل لديك أي إلغاءات، هل يمكنك أن تخبرني بأسرع وقت ممكن؟,sent,,
Sure.,当然啦。, بالطبع.,sent,,
